codigo_estacion,nombre_estacion,latitud,altura_msnm,anio,mes,dia,temp_min,temp_max
290004,"La Florida, La Serena Ad.",29&deg 54' 52'' S,137,2023,8,12,8.3,17.1
290004,"La Florida, La Serena Ad.",29&deg 54' 52'' S,137,2023,8,13,11.1,15.9
290004,"La Florida, La Serena Ad.",29&deg 54' 52'' S,137,2023,8,14,12.6,15.8
290004,"La Florida, La Serena Ad.",29&deg 54' 52'' S,137,2023,8,15,12.0,17.2
290004,"La Florida, La Serena Ad.",29&deg 54' 52'' S,137,2023,8,16,12.9,18.4
290004,"La Florida, La Serena Ad.",29&deg 54' 52'' S,137,2023,8,17,11.4,18.5
290004,"La Florida, La Serena Ad.",29&deg 54' 52'' S,137,2023,8,18,10.0,18.7
290004,"La Florida, La Serena Ad.",29&deg 54' 52'' S,137,2023,8,19,10.6,22.4
290004,"La Florida, La Serena Ad.",29&deg 54' 52'' S,137,2023,8,20,13.4,26.2
290004,"La Florida, La Serena Ad.",29&deg 54' 52'' S,137,2023,8,21,10.3,19.3
290004,"La Florida, La Serena Ad.",29&deg 54' 52'' S,137,2023,8,22,11.0,20.6
290004,"La Florida, La Serena Ad.",29&deg 54' 52'' S,137,2023,8,23,9.4,19.9
290004,"La Florida, La Serena Ad.",29&deg 54' 52'' S,137,2023,8,24,12.4,18.1
290004,"La Florida, La Serena Ad.",29&deg 54' 52'' S,137,2023,8,25,8.4,18.6
290004,"La Florida, La Serena Ad.",29&deg 54' 52'' S,137,2023,8,26,8.0,19.1
290004,"La Florida, La Serena Ad.",29&deg 54' 52'' S,137,2023,8,27,8.7,24.2
290004,"La Florida, La Serena Ad.",29&deg 54' 52'' S,137,2023,8,28,10.0,18.7
290004,"La Florida, La Serena Ad.",29&deg 54' 52'' S,137,2023,8,29,9.5,18.8
290004,"La Florida, La Serena Ad.",29&deg 54' 52'' S,137,2023,8,30,8.7,18.6
290004,"La Florida, La Serena Ad.",29&deg 54' 52'' S,137,2023,8,31,8.2,17.3
330007,"Rodelillo, Ad.",33&deg 3' 55'' S,330,2023,8,1,8.1,24.2
330007,"Rodelillo, Ad.",33&deg 3' 55'' S,330,2023,8,2,14.1,24.6
330007,"Rodelillo, Ad.",33&deg 3' 55'' S,330,2023,8,3,8.1,12.1
330007,"Rodelillo, Ad.",33&deg 3' 55'' S,330,2023,8,4,5.9,19.8
330007,"Rodelillo, Ad.",33&deg 3' 55'' S,330,2023,8,5,10.7,11.8
330007,"Rodelillo, Ad.",33&deg 3' 55'' S,330,2023,8,6,10.7,17.1
330007,"Rodelillo, Ad.",33&deg 3' 55'' S,330,2023,8,7,8.1,15.8
330007,"Rodelillo, Ad.",33&deg 3' 55'' S,330,2023,8,8,7.5,12.8
330007,"Rodelillo, Ad.",33&deg 3' 55'' S,330,2023,8,9,10.0,12.7
330007,"Rodelillo, Ad.",33&deg 3' 55'' S,330,2023,8,10,8.6,15.0
330007,"Rodelillo, Ad.",33&deg 3' 55'' S,330,2023,8,11,8.7,17.4
330007,"Rodelillo, Ad.",33&deg 3' 55'' S,330,2023,8,12,9.3,23.3
330007,"Rodelillo, Ad.",33&deg 3' 55'' S,330,2023,8,13,15.5,29.4
330007,"Rodelillo, Ad.",33&deg 3' 55'' S,330,2023,8,14,9.1,13.5
330007,"Rodelillo, Ad.",33&deg 3' 55'' S,330,2023,8,15,11.1,13.2
330007,"Rodelillo, Ad.",33&deg 3' 55'' S,330,2023,8,16,9.4,14.6
330007,"Rodelillo, Ad.",33&deg 3' 55'' S,330,2023,8,17,10.8,16.4
330007,"Rodelillo, Ad.",33&deg 3' 55'' S,330,2023,8,18,5.9,17.9
330007,"Rodelillo, Ad.",33&deg 3' 55'' S,330,2023,8,19,7.4,13.9
330007,"Rodelillo, Ad.",33&deg 3' 55'' S,330,2023,8,20,11.8,15.8
330007,"Rodelillo, Ad.",33&deg 3' 55'' S,330,2023,8,21,11.6,16.5
330007,"Rodelillo, Ad.",33&deg 3' 55'' S,330,2023,8,22,11.5,13.8
330007,"Rodelillo, Ad.",33&deg 3' 55'' S,330,2023,8,23,8.9,13.7
330007,"Rodelillo, Ad.",33&deg 3' 55'' S,330,2023,8,24,4.2,16.6
